Symbol,Bid,Ask,Last,Volume,Date,Time
EURGBP=R,0.8467,0.8472,0.8467,17440.0,2016-08-02,1:20:58:0
EURGBP=R,0.8467,0.8472,0.8467,17441.0,2016-08-02,1:20:58:0
EURGBP=R,0.8467,0.8472,0.8467,17442.0,2016-08-02,1:20:59:0
EURGBP=R,0.8467,0.8472,0.8467,17443.0,2016-08-02,1:21:1:0
EURGBP=R,0.8467,0.8471,0.8467,17444.0,2016-08-02,1:21:1:0
EURGBP=R,0.8467,0.8469,0.8467,17445.0,2016-08-02,1:21:2:0
EURGBP=R,0.8466,0.8471,0.8466,17446.0,2016-08-02,1:21:2:0
EURGBP=R,0.8465,0.8473,0.8465,17447.0,2016-08-02,1:21:2:0
EURGBP=R,0.8465,0.8472,0.8465,17448.0,2016-08-02,1:21:2:0
EURGBP=R,0.8466,0.8471,0.8466,17449.0,2016-08-02,1:21:2:0
EURGBP=R,0.8466,0.8471,0.8466,17450.0,2016-08-02,1:21:3:0
EURGBP=R,0.8466,0.847,0.8466,17451.0,2016-08-02,1:21:6:0
EURGBP=R,0.8466,0.847,0.8466,17452.0,2016-08-02,1:21:7:0
EURGBP=R,0.8466,0.847,0.8466,17453.0,2016-08-02,1:21:7:0
EURGBP=R,0.8466,0.847,0.8466,17454.0,2016-08-02,1:21:10:0
EURGBP=R,0.8464,0.8469,0.8464,17455.0,2016-08-02,1:21:11:0
EURGBP=R,0.8465,0.847,0.8465,17456.0,2016-08-02,1:21:12:0
EURGBP=R,0.8466,0.8469,0.8466,17457.0,2016-08-02,1:21:13:0
EURGBP=R,0.8466,0.8469,0.8466,17458.0,2016-08-02,1:21:15:0
EURGBP=R,0.8465,0.8471,0.8465,17459.0,2016-08-02,1:21:15:0
EURGBP=R,0.8465,0.8472,0.8465,17460.0,2016-08-02,1:21:16:0
EURGBP=R,0.8466,0.8471,0.8466,17461.0,2016-08-02,1:21:16:0
EURGBP=R,0.8465,0.8472,0.8465,17462.0,2016-08-02,1:21:17:0
EURGBP=R,0.8465,0.8472,0.8465,17464.0,2016-08-02,1:21:17:0
EURGBP=R,0.8465,0.8472,0.8465,17464.0,2016-08-02,1:21:17:0
EURGBP=R,0.8465,0.8472,0.8465,17465.0,2016-08-02,1:21:17:0
EURGBP=R,0.8466,0.8471,0.8466,17466.0,2016-08-02,1:21:18:0
EURGBP=R,0.8466,0.8471,0.8466,17467.0,2016-08-02,1:21:18:0
EURGBP=R,0.8467,0.8471,0.8467,17468.0,2016-08-02,1:21:19:0
EURGBP=R,0.8467,0.8471,0.8467,17469.0,2016-08-02,1:21:19:0
EURGBP=R,0.8467,0.8471,0.8467,17470.0,2016-08-02,1:21:20:0
EURGBP=R,0.8467,0.8471,0.8467,17471.0,2016-08-02,1:21:20:0
EURGBP=R,0.8466,0.8472,0.8466,17472.0,2016-08-02,1:21:20:0
EURGBP=R,0.8465,0.8472,0.8465,17473.0,2016-08-02,1:21:21:0
EURGBP=R,0.8466,0.8471,0.8466,17474.0,2016-08-02,1:21:21:0
EURGBP=R,0.8465,0.8472,0.8465,17475.0,2016-08-02,1:21:23:0
EURGBP=R,0.8465,0.8472,0.8465,17476.0,2016-08-02,1:21:23:0
EURGBP=R,0.8465,0.8472,0.8465,17477.0,2016-08-02,1:21:25:0
EURGBP=R,0.8466,0.8471,0.8466,17478.0,2016-08-02,1:21:26:0
EURGBP=R,0.8465,0.8472,0.8465,17479.0,2016-08-02,1:21:27:0
EURGBP=R,0.8465,0.8472,0.8465,17480.0,2016-08-02,1:21:30:0
EURGBP=R,0.8465,0.8472,0.8465,17481.0,2016-08-02,1:21:30:0
EURGBP=R,0.8465,0.8472,0.8465,17482.0,2016-08-02,1:21:30:0
EURGBP=R,0.8465,0.8472,0.8465,17483.0,2016-08-02,1:21:32:0
EURGBP=R,0.8465,0.8471,0.8465,17484.0,2016-08-02,1:21:32:0
EURGBP=R,0.8465,0.8472,0.8465,17485.0,2016-08-02,1:21:33:0
EURGBP=R,0.8466,0.8471,0.8466,17486.0,2016-08-02,1:21:33:0
EURGBP=R,0.8466,0.8471,0.8466,17487.0,2016-08-02,1:21:34:0
EURGBP=R,0.8466,0.8471,0.8466,17488.0,2016-08-02,1:21:37:0
EURGBP=R,0.8466,0.8471,0.8466,17489.0,2016-08-02,1:21:38:0
EURGBP=R,0.8466,0.8471,0.8466,17490.0,2016-08-02,1:21:40:0
EURGBP=R,0.8466,0.8471,0.8466,17491.0,2016-08-02,1:21:42:0
EURGBP=R,0.8465,0.8472,0.8465,17492.0,2016-08-02,1:21:43:0
EURGBP=R,0.8465,0.8471,0.8465,17493.0,2016-08-02,1:21:45:0
EURGBP=R,0.8465,0.8472,0.8465,17494.0,2016-08-02,1:21:45:0
